GEOID,BeerPO,Pharmacies,physicians,MentalHeal,Generalhos,Secialtyho,ZoosPO,NaturePark,CasinosPO,FitnessPO,DrinkingPl,ReligiousP,Geocode_1,Rural_urba,X,Y,Walkabilit,CountyDiss,Five_ave_c,New_rural,Population,Populati_1,Populati_2,NoHealthIn,X_Black,Neighbor_D,X_Immigran,Beer,Pharmaci_1,physicia_1,MentalHe_1,Generalh_1,Secialty_1,Zoos,NaturePa_1,Casinos,Fitness,Drinking_1,Religiou_1,X_HouseRen,X_TotalGre,Depression,Mental_hea
45025950200,0,1,0,0,0,0,0,0,0,0,0,18,2,2,1425373.241,-358050.3783,4.5,0.238161226,1568.794206,0,49.46967,51.15,16.22,8.55,20.87,0.734591899,1.0466989,0.640226,7.547814,3.584091,0.097519,7.130533,0.141757,0.206626,7.399812,0.447237,4.560671,1.06165,17.983465,25.61,67.29,22.20000076,18.60000038
45057010700,3,2,2,0,0,0,0,6,0,0,0,13,2,3,1385874.232,-356514.5385,8.888888889,0.415646076,2246.800921,0,1653.682,58.78,13.82,16.34,87.55,2.191581817,2.1655066,0.947052,3.873528,2.692359,0.266262,5.21795,0.024703,0.019635,9.45458,0.019892,1.590205,0.463508,8.067588,68.32,16.08,20.79999924,21.60000038
45019003115,1,4,80,3,2,7,0,1,0,2,1,10,2,1,1482296.648,-535257.3725,10.11111111,0.526288399,160.2634219,0,1960.502,55.39,11.53,16.6,41.86,0.272843295,6.7940312,1.91309,6.225197,7.245833,1.13783,12.276223,0.514642,0.6299,14.712721,0.219634,9.10018,5.643088,15.127853,65.72,8.31,22,19.89999962
45015020504,0,1,11,0,1,0,0,1,0,2,1,11,2,2,1482576.82,-509564.9943,7.333333333,0.293936663,1222.155087,0,568.6679,50.34,15.41,11.77,51.24,-0.025244326,0.877193,1.727677,9.631429,6.471067,0.560227,12.969072,0.287685,0.157074,22.781696,0.096512,6.689109,3.390414,15.853591,27.53,20.22,20.20000076,16
45037970201,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1281983.59,-476648.8821,2.666666667,0.288102175,0,0,12.46671,46.1,21.11,8.2,34.83,-0.257775221,0.471451,1.69496,9.185166,4.26939,0.304527,38.405251,0.3281,0.499394,14.017464,0.066613,18.355405,5.628858,20.898108,8.59,89.72,21.70000076,16
45079010501,1,0,0,0,0,0,0,0,0,0,0,7,2,1,1369572.124,-432146.2128,7.666666667,0.458914301,2849.4494,0,608.4822,52.38,10.4,10.41,50.36,0.431991333,6.7287785,2.136215,8.985005,6.158611,4.266475,8.085596,0.206547,0.264931,11.749108,0.045723,7.161469,3.775652,29.177105,66.44,49.13,20.39999962,15.39999962
45045001203,0,2,1,0,0,0,0,0,0,0,0,2,2,1,1238508.218,-363045.0876,13.83333333,0.40363857,2134.526712,0,5353.062,56.36,6.3,10.58,5.77,-0.621699424,7.9696395,0.247929,5.739308,1.407753,0.564803,2.45644,0.03185,0.825896,9.134024,0.067265,6.000253,3.071633,29.240305,43.42,4.86,23.10000038,17
45019004702,1,0,5,3,0,1,0,0,0,4,2,5,2,1,1503968.125,-551674.5729,14.83333333,0.526288399,160.2634219,0,2985.015,46.58,19.11,12.24,1.96,-0.770468764,4.4782087,0.600406,7.42484,5.570273,1.210843,21.878087,1.007813,0.368921,22.133901,0.170212,25.913607,13.42389,6.909108,47.62,13.4,18.79999924,12.19999981
45051051302,0,0,1,0,0,0,0,1,0,0,3,6,2,2,1566723.214,-452096.2045,9.25,0.41628135,2.381401137,0,1702.088,48.54,28.55,11.15,0,-0.662563674,2.4521073,5.366724,13.301178,7.213346,1.184553,17.375601,0.822586,0.28859,24.490497,0.348472,13.943317,10.582476,17.04155,20.01,8.7,20.89999962,12.19999981
45045001000,1,0,6,2,0,0,0,3,0,2,0,10,2,1,1235475.904,-364657.0526,16.08333333,0.40363857,2134.526712,0,3828.959,43.5,11.9,4.59,15.41,-0.332685898,3.2727273,1.157002,10.997914,3.807442,1.470401,12.948195,0.108377,0.872921,17.566854,0.301329,17.86777,10.555904,8.095942,48.72,2.3,19.70000076,12.80000019
